                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2604,                 2.6127,                 1.0952,                0.66058,                0.25832,                0.23608,                0.15521,                 1.1063,                 2.3025,                0.97014,             0.00020907,             0.00020907,             0.00020907
                      2,                 1.0535,                0.93333,                0.96972,                0.56088,                0.47751,                0.46375,                0.28886,                 1.0533,                 1.1831,                0.95088,             0.00040608,             0.00040608,             0.00040608
                      3,                 1.0331,                0.82912,                0.96604,                0.58728,                  0.533,                 0.5418,                0.34197,                0.99893,                0.89412,                0.93662,              0.0005815,              0.0005815,              0.0005815
                      4,                 1.0021,                0.76197,                0.94921,                0.39315,                0.38398,                0.39424,                0.22823,                  1.119,                 1.0758,                 1.0145,             0.00073531,             0.00073531,             0.00073531
                      5,                0.99322,                0.75443,                0.94409,                   0.59,                0.47742,                0.48086,                0.28788,                  1.076,                 1.0579,                  0.986,             0.00072902,             0.00072902,             0.00072902
                      6,                0.97188,                0.71279,                0.94082,                0.64556,                0.52423,                0.55873,                0.35612,                0.97582,                0.86035,                0.94863,             0.00072902,             0.00072902,             0.00072902
                      7,                0.96119,                 0.7033,                0.94057,                0.71599,                 0.5128,                 0.5505,                0.33363,                 1.0122,                0.84985,                0.96439,             0.00068402,             0.00068402,             0.00068402
                      8,                0.94165,                 0.6695,                0.92689,                0.77086,                 0.5571,                0.61119,                0.37644,                0.98151,                0.78248,                0.94035,             0.00063903,             0.00063903,             0.00063903
                      9,                0.92508,                0.65238,                0.92314,                0.65589,                0.57724,                0.61713,                0.39027,                0.99387,                0.75515,                0.93853,             0.00059403,             0.00059403,             0.00059403
                     10,                 0.9093,                0.61839,                0.91522,                0.67992,                0.61935,                 0.6533,                0.41263,                0.92109,                0.72439,                0.92236,             0.00054904,             0.00054904,             0.00054904
                     11,                0.89329,                0.61968,                0.89081,                0.74674,                0.57574,                0.63309,                0.39044,                0.93796,                0.74775,                0.92269,             0.00050404,             0.00050404,             0.00050404
                     12,                0.88072,                0.58552,                0.89302,                0.68425,                 0.6025,                 0.6298,                 0.3926,                0.96172,                0.75048,                0.93151,             0.00045904,             0.00045904,             0.00045904
                     13,                 0.8799,                 0.5765,                0.89694,                 0.7453,                0.60321,                0.64376,                0.38984,                0.92662,                 0.7581,                0.92931,             0.00041405,             0.00041405,             0.00041405
                     14,                0.85229,                0.55643,                0.88947,                0.68569,                0.65972,                0.67692,                0.43203,                  0.905,                  0.688,                0.91814,             0.00036905,             0.00036905,             0.00036905
                     15,                0.83894,                0.55837,                0.88521,                 0.8394,                 0.5763,                0.67687,                0.43179,                0.90759,                0.70397,                 0.9137,             0.00032406,             0.00032406,             0.00032406
                     16,                0.82558,                0.53533,                0.87807,                0.74999,                0.65101,                0.71338,                0.46883,                0.88042,                0.66338,                0.91091,             0.00027906,             0.00027906,             0.00027906
                     17,                0.82457,                0.54587,                0.87704,                0.73794,                0.65121,                0.71381,                0.47026,                0.88303,                0.65625,                0.90733,             0.00023407,             0.00023407,             0.00023407
                     18,                0.80664,                0.49795,                0.87662,                0.72672,                0.67166,                0.71352,                0.46677,                0.87443,                0.65738,                0.90509,             0.00018907,             0.00018907,             0.00018907
                     19,                0.81412,                0.53575,                0.86913,                0.76532,                 0.6438,                0.71627,                0.46436,                0.86453,                0.64992,                0.90026,             0.00014408,             0.00014408,             0.00014408
                     20,                0.76475,                0.47103,                0.85898,                0.75286,                0.66954,                0.72294,                0.47445,                0.86016,                0.64496,                0.90018,             9.9081e-05,             9.9081e-05,             9.9081e-05
